percent_removed,acc_removed_only,acc_shifted_removed
0.000000000000000000e+00,3.286999999999999922e-01,3.311000000000000054e-01
1.000000000000000000e+00,3.286000000000000032e-01,3.311999999999999944e-01
2.000000000000000000e+00,3.287999999999999812e-01,3.310000000000000164e-01
3.000000000000000000e+00,3.287999999999999812e-01,3.310000000000000164e-01
4.000000000000000000e+00,3.287999999999999812e-01,3.310000000000000164e-01
5.000000000000000000e+00,3.290000000000000147e-01,3.311999999999999944e-01
6.000000000000000000e+00,3.287999999999999812e-01,3.311999999999999944e-01
7.000000000000000000e+00,3.286999999999999922e-01,3.311000000000000054e-01
8.000000000000000000e+00,3.291000000000000036e-01,3.311999999999999944e-01
9.000000000000000000e+00,3.290000000000000147e-01,3.311999999999999944e-01
1.000000000000000000e+01,3.287999999999999812e-01,3.311000000000000054e-01
1.100000000000000000e+01,3.286000000000000032e-01,3.311999999999999944e-01
1.200000000000000000e+01,3.285000000000000142e-01,3.310000000000000164e-01
1.300000000000000000e+01,3.286999999999999922e-01,3.310000000000000164e-01
1.400000000000000000e+01,3.289000000000000257e-01,3.311000000000000054e-01
1.500000000000000000e+01,3.285000000000000142e-01,3.306999999999999940e-01
1.600000000000000000e+01,3.285000000000000142e-01,3.309000000000000274e-01
1.700000000000000000e+01,3.286000000000000032e-01,3.310000000000000164e-01
1.800000000000000000e+01,3.286000000000000032e-01,3.311999999999999944e-01
1.900000000000000000e+01,3.286000000000000032e-01,3.315000000000000169e-01
2.000000000000000000e+01,3.284000000000000252e-01,3.312999999999999834e-01
2.100000000000000000e+01,3.284000000000000252e-01,3.311000000000000054e-01
2.200000000000000000e+01,3.284000000000000252e-01,3.311999999999999944e-01
2.300000000000000000e+01,3.284000000000000252e-01,3.310000000000000164e-01
2.400000000000000000e+01,3.286999999999999922e-01,3.310000000000000164e-01
2.500000000000000000e+01,3.286000000000000032e-01,3.311999999999999944e-01
2.600000000000000000e+01,3.286999999999999922e-01,3.311000000000000054e-01
2.700000000000000000e+01,3.289000000000000257e-01,3.307999999999999829e-01
2.800000000000000000e+01,3.286000000000000032e-01,3.307999999999999829e-01
2.900000000000000000e+01,3.284000000000000252e-01,3.307999999999999829e-01
3.000000000000000000e+01,3.282999999999999807e-01,3.306000000000000050e-01
3.100000000000000000e+01,3.284000000000000252e-01,3.307999999999999829e-01
3.200000000000000000e+01,3.282999999999999807e-01,3.306999999999999940e-01
3.300000000000000000e+01,3.282999999999999807e-01,3.306000000000000050e-01
3.400000000000000000e+01,3.284000000000000252e-01,3.305000000000000160e-01
3.500000000000000000e+01,3.281999999999999917e-01,3.306999999999999940e-01
3.600000000000000000e+01,3.277999999999999803e-01,3.306000000000000050e-01
3.700000000000000000e+01,3.279000000000000248e-01,3.305000000000000160e-01
3.800000000000000000e+01,3.282999999999999807e-01,3.307999999999999829e-01
3.900000000000000000e+01,3.281999999999999917e-01,3.305000000000000160e-01
4.000000000000000000e+01,3.284000000000000252e-01,3.306999999999999940e-01
4.100000000000000000e+01,3.281000000000000028e-01,3.306999999999999940e-01
4.200000000000000000e+01,3.279000000000000248e-01,3.306000000000000050e-01
4.300000000000000000e+01,3.281999999999999917e-01,3.304000000000000270e-01
4.400000000000000000e+01,3.281999999999999917e-01,3.302999999999999825e-01
4.500000000000000000e+01,3.282999999999999807e-01,3.305000000000000160e-01
4.600000000000000000e+01,3.282999999999999807e-01,3.305000000000000160e-01
4.700000000000000000e+01,3.285000000000000142e-01,3.307999999999999829e-01
4.800000000000000000e+01,3.286000000000000032e-01,3.306000000000000050e-01
4.900000000000000000e+01,3.284000000000000252e-01,3.307999999999999829e-01
5.000000000000000000e+01,3.286000000000000032e-01,3.311999999999999944e-01
5.100000000000000000e+01,3.285000000000000142e-01,3.311999999999999944e-01
5.200000000000000000e+01,3.284000000000000252e-01,3.310000000000000164e-01
5.300000000000000000e+01,3.286999999999999922e-01,3.311000000000000054e-01
5.400000000000000000e+01,3.291999999999999926e-01,3.311999999999999944e-01
5.500000000000000000e+01,3.289000000000000257e-01,3.307999999999999829e-01
5.600000000000000000e+01,3.286000000000000032e-01,3.306999999999999940e-01
5.700000000000000000e+01,3.280000000000000138e-01,3.311000000000000054e-01
5.800000000000000000e+01,3.285000000000000142e-01,3.312999999999999834e-01
5.900000000000000000e+01,3.286000000000000032e-01,3.312999999999999834e-01
6.000000000000000000e+01,3.287999999999999812e-01,3.312999999999999834e-01
6.100000000000000000e+01,3.284000000000000252e-01,3.312999999999999834e-01
6.200000000000000000e+01,3.286000000000000032e-01,3.312999999999999834e-01
6.300000000000000000e+01,3.281999999999999917e-01,3.310000000000000164e-01
6.400000000000000000e+01,3.282999999999999807e-01,3.311999999999999944e-01
6.500000000000000000e+01,3.281999999999999917e-01,3.311999999999999944e-01
6.600000000000000000e+01,3.279000000000000248e-01,3.315000000000000169e-01
6.700000000000000000e+01,3.239000000000000212e-01,3.269000000000000239e-01
6.800000000000000000e+01,3.114999999999999991e-01,3.145000000000000018e-01
6.900000000000000000e+01,2.936000000000000276e-01,2.967000000000000193e-01
7.000000000000000000e+01,2.847999999999999976e-01,2.888999999999999901e-01
7.100000000000000000e+01,2.607999999999999763e-01,2.652999999999999803e-01
7.200000000000000000e+01,2.690000000000000169e-01,2.762000000000000011e-01
7.300000000000000000e+01,2.731000000000000094e-01,2.771000000000000130e-01
7.400000000000000000e+01,2.561999999999999833e-01,2.606999999999999873e-01
7.500000000000000000e+01,2.592999999999999750e-01,2.651000000000000023e-01
7.600000000000000000e+01,2.775000000000000244e-01,2.822000000000000064e-01
7.700000000000000000e+01,2.788999999999999813e-01,2.842000000000000082e-01
7.800000000000000000e+01,2.791000000000000147e-01,2.839999999999999747e-01
7.900000000000000000e+01,2.676999999999999935e-01,2.733999999999999764e-01
8.000000000000000000e+01,2.973000000000000087e-01,3.017000000000000237e-01
8.100000000000000000e+01,3.215000000000000080e-01,3.257999999999999785e-01
8.200000000000000000e+01,3.304000000000000270e-01,3.336999999999999966e-01
8.300000000000000000e+01,3.506000000000000227e-01,3.543000000000000038e-01
8.400000000000000000e+01,3.726999999999999758e-01,3.765999999999999903e-01
8.500000000000000000e+01,3.714999999999999969e-01,3.765000000000000013e-01
8.600000000000000000e+01,3.637000000000000233e-01,3.675999999999999823e-01
8.700000000000000000e+01,4.366999999999999771e-01,4.405999999999999917e-01
8.800000000000000000e+01,4.747999999999999998e-01,4.778999999999999915e-01
8.900000000000000000e+01,4.786000000000000254e-01,4.804999999999999827e-01
9.000000000000000000e+01,4.943000000000000171e-01,4.968000000000000194e-01
9.100000000000000000e+01,4.892000000000000237e-01,4.910999999999999810e-01
9.200000000000000000e+01,5.014999999999999458e-01,5.033999999999999586e-01
9.300000000000000000e+01,4.959000000000000075e-01,4.970999999999999863e-01
9.400000000000000000e+01,5.285999999999999588e-01,5.286999999999999478e-01
9.500000000000000000e+01,5.486999999999999655e-01,5.497999999999999554e-01
9.600000000000000000e+01,5.641000000000000458e-01,5.653000000000000247e-01
9.700000000000000000e+01,5.474999999999999867e-01,5.475999999999999757e-01
9.800000000000000000e+01,5.217000000000000526e-01,5.217000000000000526e-01
9.900000000000000000e+01,3.155999999999999917e-01,3.155000000000000027e-01
1.000000000000000000e+02,9.819999999999999563e-02,9.819999999999999563e-02
