percent_removed,acc_removed_only,acc_shifted_removed
0.000000000000000000e+00,5.854000000000000314e-01,5.828999999999999737e-01
1.000000000000000000e+00,5.865000000000000213e-01,5.827999999999999847e-01
2.000000000000000000e+00,5.865000000000000213e-01,5.843000000000000416e-01
3.000000000000000000e+00,5.870999999999999552e-01,5.843000000000000416e-01
4.000000000000000000e+00,5.864000000000000323e-01,5.826999999999999957e-01
5.000000000000000000e+00,5.868999999999999773e-01,5.827999999999999847e-01
6.000000000000000000e+00,5.870999999999999552e-01,5.827999999999999847e-01
7.000000000000000000e+00,5.864000000000000323e-01,5.822000000000000508e-01
8.000000000000000000e+00,5.855000000000000204e-01,5.840999999999999526e-01
9.000000000000000000e+00,5.864000000000000323e-01,5.832000000000000517e-01
1.000000000000000000e+01,5.855000000000000204e-01,5.823000000000000398e-01
1.100000000000000000e+01,5.865000000000000213e-01,5.842000000000000526e-01
1.200000000000000000e+01,5.856000000000000094e-01,5.815000000000000169e-01
1.300000000000000000e+01,5.864000000000000323e-01,5.822000000000000508e-01
1.400000000000000000e+01,5.866999999999999993e-01,5.827999999999999847e-01
1.500000000000000000e+01,5.862000000000000544e-01,5.816000000000000059e-01
1.600000000000000000e+01,5.857999999999999874e-01,5.816999999999999948e-01
1.700000000000000000e+01,5.864000000000000323e-01,5.822000000000000508e-01
1.800000000000000000e+01,5.867999999999999883e-01,5.826000000000000068e-01
1.900000000000000000e+01,5.870999999999999552e-01,5.826000000000000068e-01
2.000000000000000000e+01,5.869999999999999662e-01,5.815000000000000169e-01
2.100000000000000000e+01,5.849999999999999645e-01,5.815000000000000169e-01
2.200000000000000000e+01,5.836999999999999966e-01,5.800999999999999490e-01
2.300000000000000000e+01,5.846000000000000085e-01,5.800999999999999490e-01
2.400000000000000000e+01,5.815000000000000169e-01,5.786000000000000032e-01
2.500000000000000000e+01,5.806000000000000050e-01,5.769999999999999574e-01
2.600000000000000000e+01,5.802000000000000490e-01,5.766000000000000014e-01
2.700000000000000000e+01,5.782000000000000473e-01,5.745999999999999996e-01
2.800000000000000000e+01,5.779999999999999583e-01,5.749999999999999556e-01
2.900000000000000000e+01,5.769999999999999574e-01,5.736999999999999877e-01
3.000000000000000000e+01,5.766000000000000014e-01,5.734000000000000208e-01
3.100000000000000000e+01,5.759999999999999565e-01,5.716999999999999860e-01
3.200000000000000000e+01,5.765000000000000124e-01,5.717999999999999750e-01
3.300000000000000000e+01,5.764000000000000234e-01,5.724000000000000199e-01
3.400000000000000000e+01,5.756000000000000005e-01,5.719999999999999529e-01
3.500000000000000000e+01,5.772000000000000464e-01,5.727999999999999758e-01
3.600000000000000000e+01,5.770999999999999464e-01,5.739999999999999547e-01
3.700000000000000000e+01,5.727999999999999758e-01,5.716999999999999860e-01
3.800000000000000000e+01,5.732000000000000428e-01,5.711000000000000520e-01
3.900000000000000000e+01,5.759999999999999565e-01,5.721000000000000529e-01
4.000000000000000000e+01,5.764000000000000234e-01,5.705000000000000071e-01
4.100000000000000000e+01,5.747999999999999776e-01,5.695000000000000062e-01
4.200000000000000000e+01,5.736999999999999877e-01,5.676999999999999824e-01
4.300000000000000000e+01,5.706999999999999851e-01,5.658999999999999586e-01
4.400000000000000000e+01,5.704000000000000181e-01,5.621000000000000441e-01
4.500000000000000000e+01,5.682000000000000384e-01,5.637999999999999678e-01
4.600000000000000000e+01,5.682000000000000384e-01,5.633000000000000229e-01
4.700000000000000000e+01,5.707999999999999741e-01,5.674000000000000155e-01
