percent_removed,acc_removed_only,acc_shifted_removed
0.000000000000000000e+00,2.061999999999999944e-01,2.061999999999999944e-01
1.000000000000000000e+00,2.061000000000000054e-01,2.061000000000000054e-01
2.000000000000000000e+00,2.064999999999999891e-01,2.064999999999999891e-01
3.000000000000000000e+00,2.069999999999999896e-01,2.069999999999999896e-01
4.000000000000000000e+00,2.078000000000000125e-01,2.078000000000000125e-01
5.000000000000000000e+00,2.071000000000000063e-01,2.071000000000000063e-01
6.000000000000000000e+00,2.071000000000000063e-01,2.071000000000000063e-01
7.000000000000000000e+00,2.069000000000000006e-01,2.069000000000000006e-01
8.000000000000000000e+00,2.063000000000000111e-01,2.063000000000000111e-01
9.000000000000000000e+00,2.053000000000000103e-01,2.053000000000000103e-01
1.000000000000000000e+01,2.044999999999999873e-01,2.044999999999999873e-01
1.100000000000000000e+01,2.038999999999999979e-01,2.038999999999999979e-01
1.200000000000000000e+01,2.013999999999999957e-01,2.013999999999999957e-01
1.300000000000000000e+01,2.016999999999999904e-01,2.016999999999999904e-01
1.400000000000000000e+01,2.021999999999999909e-01,2.021999999999999909e-01
1.500000000000000000e+01,2.013999999999999957e-01,2.013999999999999957e-01
1.600000000000000000e+01,2.003999999999999948e-01,2.003999999999999948e-01
1.700000000000000000e+01,2.031000000000000028e-01,2.031000000000000028e-01
1.800000000000000000e+01,2.038000000000000089e-01,2.038000000000000089e-01
1.900000000000000000e+01,2.048999999999999988e-01,2.048999999999999988e-01
2.000000000000000000e+01,2.034999999999999865e-01,2.034999999999999865e-01
2.100000000000000000e+01,2.044999999999999873e-01,2.044999999999999873e-01
2.200000000000000000e+01,2.033000000000000085e-01,2.033000000000000085e-01
2.300000000000000000e+01,2.036999999999999922e-01,2.036999999999999922e-01
2.400000000000000000e+01,2.043000000000000094e-01,2.043000000000000094e-01
2.500000000000000000e+01,2.041000000000000036e-01,2.041000000000000036e-01
2.600000000000000000e+01,2.034999999999999865e-01,2.034999999999999865e-01
2.700000000000000000e+01,2.008000000000000063e-01,2.008000000000000063e-01
2.800000000000000000e+01,2.023000000000000076e-01,2.023000000000000076e-01
2.900000000000000000e+01,2.026000000000000023e-01,2.026000000000000023e-01
3.000000000000000000e+01,2.008000000000000063e-01,2.008000000000000063e-01
3.100000000000000000e+01,2.003000000000000058e-01,2.003000000000000058e-01
3.200000000000000000e+01,2.001999999999999891e-01,2.001999999999999891e-01
3.300000000000000000e+01,1.976999999999999869e-01,1.976999999999999869e-01
3.400000000000000000e+01,1.976999999999999869e-01,1.976999999999999869e-01
3.500000000000000000e+01,1.975000000000000089e-01,1.975000000000000089e-01
3.600000000000000000e+01,1.942000000000000115e-01,1.942000000000000115e-01
3.700000000000000000e+01,1.947000000000000119e-01,1.947000000000000119e-01
3.800000000000000000e+01,1.942000000000000115e-01,1.942000000000000115e-01
3.900000000000000000e+01,1.938999999999999890e-01,1.938999999999999890e-01
4.000000000000000000e+01,1.918999999999999873e-01,1.918999999999999873e-01
4.100000000000000000e+01,1.902999999999999969e-01,1.902999999999999969e-01
4.200000000000000000e+01,1.930000000000000049e-01,1.930000000000000049e-01
4.300000000000000000e+01,1.935999999999999943e-01,1.935999999999999943e-01
4.400000000000000000e+01,1.905000000000000027e-01,1.905000000000000027e-01
4.500000000000000000e+01,1.913999999999999868e-01,1.913999999999999868e-01
4.600000000000000000e+01,1.869999999999999996e-01,1.869999999999999996e-01
4.700000000000000000e+01,1.872000000000000053e-01,1.872000000000000053e-01
4.800000000000000000e+01,1.870999999999999885e-01,1.870999999999999885e-01
4.900000000000000000e+01,1.864000000000000101e-01,1.864000000000000101e-01
5.000000000000000000e+01,1.855999999999999872e-01,1.855999999999999872e-01
5.100000000000000000e+01,1.857999999999999929e-01,1.857999999999999929e-01
5.200000000000000000e+01,1.817000000000000004e-01,1.817000000000000004e-01
5.300000000000000000e+01,1.821000000000000119e-01,1.821000000000000119e-01
5.400000000000000000e+01,1.822000000000000008e-01,1.822000000000000008e-01
5.500000000000000000e+01,1.809000000000000052e-01,1.809000000000000052e-01
5.600000000000000000e+01,1.741999999999999937e-01,1.741999999999999937e-01
5.700000000000000000e+01,1.748000000000000109e-01,1.748000000000000109e-01
5.800000000000000000e+01,1.728999999999999981e-01,1.728999999999999981e-01
5.900000000000000000e+01,1.723000000000000087e-01,1.723000000000000087e-01
6.000000000000000000e+01,1.690000000000000113e-01,1.690000000000000113e-01
6.100000000000000000e+01,1.683000000000000052e-01,1.683000000000000052e-01
6.200000000000000000e+01,1.655999999999999972e-01,1.655999999999999972e-01
6.300000000000000000e+01,1.670000000000000095e-01,1.670000000000000095e-01
6.400000000000000000e+01,1.605000000000000038e-01,1.605000000000000038e-01
6.500000000000000000e+01,1.622000000000000108e-01,1.622000000000000108e-01
6.600000000000000000e+01,1.632000000000000117e-01,1.632000000000000117e-01
6.700000000000000000e+01,1.582000000000000073e-01,1.582000000000000073e-01
6.800000000000000000e+01,1.567999999999999949e-01,1.567999999999999949e-01
6.900000000000000000e+01,1.554000000000000103e-01,1.554000000000000103e-01
7.000000000000000000e+01,1.509000000000000064e-01,1.509000000000000064e-01
7.100000000000000000e+01,1.459999999999999909e-01,1.459999999999999909e-01
7.200000000000000000e+01,1.391000000000000014e-01,1.391000000000000014e-01
7.300000000000000000e+01,1.376999999999999891e-01,1.376999999999999891e-01
7.400000000000000000e+01,1.355000000000000093e-01,1.355000000000000093e-01
7.500000000000000000e+01,1.358000000000000040e-01,1.358000000000000040e-01
7.600000000000000000e+01,1.342000000000000137e-01,1.342000000000000137e-01
7.700000000000000000e+01,1.297999999999999987e-01,1.297999999999999987e-01
7.800000000000000000e+01,1.320999999999999952e-01,1.320999999999999952e-01
7.900000000000000000e+01,1.345999999999999974e-01,1.345999999999999974e-01
8.000000000000000000e+01,1.323000000000000009e-01,1.323000000000000009e-01
8.100000000000000000e+01,1.317000000000000115e-01,1.317000000000000115e-01
8.200000000000000000e+01,1.275000000000000022e-01,1.275000000000000022e-01
8.300000000000000000e+01,1.257999999999999952e-01,1.257999999999999952e-01
8.400000000000000000e+01,1.233999999999999958e-01,1.233999999999999958e-01
8.500000000000000000e+01,1.215999999999999998e-01,1.215999999999999998e-01
8.600000000000000000e+01,1.232000000000000040e-01,1.232000000000000040e-01
8.700000000000000000e+01,1.166999999999999982e-01,1.166999999999999982e-01
8.800000000000000000e+01,1.174000000000000044e-01,1.174000000000000044e-01
8.900000000000000000e+01,1.126999999999999946e-01,1.126999999999999946e-01
9.000000000000000000e+01,1.020999999999999963e-01,1.020999999999999963e-01
9.100000000000000000e+01,1.029999999999999943e-01,1.029999999999999943e-01
9.200000000000000000e+01,1.005999999999999950e-01,1.005999999999999950e-01
9.300000000000000000e+01,9.500000000000000111e-02,9.500000000000000111e-02
9.400000000000000000e+01,8.659999999999999643e-02,8.659999999999999643e-02
9.500000000000000000e+01,8.519999999999999796e-02,8.519999999999999796e-02
9.600000000000000000e+01,7.080000000000000182e-02,7.080000000000000182e-02
9.700000000000000000e+01,7.449999999999999678e-02,7.449999999999999678e-02
9.800000000000000000e+01,4.680000000000000132e-02,4.680000000000000132e-02
9.900000000000000000e+01,3.200000000000000067e-02,3.200000000000000067e-02
1.000000000000000000e+02,1.000000000000000021e-02,1.000000000000000021e-02
