percent_removed,acc_removed_only,acc_shifted_removed
0.000000000000000000e+00,9.576999999999999957e-01,9.528999999999999693e-01
1.000000000000000000e+00,9.569999999999999618e-01,9.528999999999999693e-01
2.000000000000000000e+00,9.572000000000000508e-01,9.532000000000000473e-01
3.000000000000000000e+00,9.575000000000000178e-01,9.535000000000000142e-01
4.000000000000000000e+00,9.576000000000000068e-01,9.535000000000000142e-01
5.000000000000000000e+00,9.576999999999999957e-01,9.536999999999999922e-01
6.000000000000000000e+00,9.579999999999999627e-01,9.536000000000000032e-01
7.000000000000000000e+00,9.577999999999999847e-01,9.536999999999999922e-01
8.000000000000000000e+00,9.578999999999999737e-01,9.538999999999999702e-01
9.000000000000000000e+00,9.576999999999999957e-01,9.539999999999999591e-01
1.000000000000000000e+01,9.576999999999999957e-01,9.533000000000000362e-01
1.100000000000000000e+01,9.570999999999999508e-01,9.520999999999999464e-01
1.200000000000000000e+01,9.564000000000000279e-01,9.515000000000000124e-01
1.300000000000000000e+01,9.564000000000000279e-01,9.513000000000000345e-01
1.400000000000000000e+01,9.557999999999999829e-01,9.506000000000000005e-01
1.500000000000000000e+01,9.552000000000000490e-01,9.506000000000000005e-01
1.600000000000000000e+01,9.552000000000000490e-01,9.509999999999999565e-01
1.700000000000000000e+01,9.553000000000000380e-01,9.508999999999999675e-01
1.800000000000000000e+01,9.557999999999999829e-01,9.514000000000000234e-01
1.900000000000000000e+01,9.559999999999999609e-01,9.516000000000000014e-01
2.000000000000000000e+01,9.553000000000000380e-01,9.516000000000000014e-01
2.100000000000000000e+01,9.555000000000000160e-01,9.507999999999999785e-01
2.200000000000000000e+01,9.556000000000000050e-01,9.516000000000000014e-01
2.300000000000000000e+01,9.570999999999999508e-01,9.538999999999999702e-01
2.400000000000000000e+01,9.570999999999999508e-01,9.535000000000000142e-01
2.500000000000000000e+01,9.565000000000000169e-01,9.535000000000000142e-01
2.600000000000000000e+01,9.560999999999999499e-01,9.535000000000000142e-01
2.700000000000000000e+01,9.564000000000000279e-01,9.539999999999999591e-01
2.800000000000000000e+01,9.559999999999999609e-01,9.516000000000000014e-01
2.900000000000000000e+01,9.555000000000000160e-01,9.514000000000000234e-01
3.000000000000000000e+01,9.563000000000000389e-01,9.518999999999999684e-01
3.100000000000000000e+01,9.567999999999999838e-01,9.522000000000000464e-01
3.200000000000000000e+01,9.558999999999999719e-01,9.517999999999999794e-01
3.300000000000000000e+01,9.556000000000000050e-01,9.516000000000000014e-01
3.400000000000000000e+01,9.559999999999999609e-01,9.517999999999999794e-01
3.500000000000000000e+01,9.546000000000000041e-01,9.509999999999999565e-01
3.600000000000000000e+01,9.537999999999999812e-01,9.497999999999999776e-01
3.700000000000000000e+01,9.537999999999999812e-01,9.503000000000000336e-01
3.800000000000000000e+01,9.545000000000000151e-01,9.508999999999999675e-01
3.900000000000000000e+01,9.546999999999999931e-01,9.512000000000000455e-01
4.000000000000000000e+01,9.554000000000000270e-01,9.518999999999999684e-01
4.100000000000000000e+01,9.559999999999999609e-01,9.536999999999999922e-01
4.200000000000000000e+01,9.565000000000000169e-01,9.544000000000000261e-01
4.300000000000000000e+01,9.567999999999999838e-01,9.546999999999999931e-01
4.400000000000000000e+01,9.556999999999999940e-01,9.536000000000000032e-01
4.500000000000000000e+01,9.550999999999999490e-01,9.532000000000000473e-01
4.600000000000000000e+01,9.542000000000000481e-01,9.528999999999999693e-01
4.700000000000000000e+01,9.547999999999999821e-01,9.535000000000000142e-01
4.800000000000000000e+01,9.535000000000000142e-01,9.522000000000000464e-01
4.900000000000000000e+01,9.558999999999999719e-01,9.535000000000000142e-01
5.000000000000000000e+01,9.519999999999999574e-01,9.497999999999999776e-01
5.100000000000000000e+01,9.514000000000000234e-01,9.478999999999999648e-01
5.200000000000000000e+01,9.508999999999999675e-01,9.482000000000000428e-01
5.300000000000000000e+01,9.520999999999999464e-01,9.486999999999999877e-01
5.400000000000000000e+01,9.539999999999999591e-01,9.522000000000000464e-01
5.500000000000000000e+01,9.525000000000000133e-01,9.495999999999999996e-01
5.600000000000000000e+01,9.517999999999999794e-01,9.488999999999999657e-01
5.700000000000000000e+01,9.530999999999999472e-01,9.492000000000000437e-01
5.800000000000000000e+01,9.516000000000000014e-01,9.495000000000000107e-01
5.900000000000000000e+01,9.510999999999999455e-01,9.477999999999999758e-01
6.000000000000000000e+01,9.520999999999999464e-01,9.486999999999999877e-01
6.100000000000000000e+01,9.529999999999999583e-01,9.507999999999999785e-01
6.200000000000000000e+01,9.527999999999999803e-01,9.510999999999999455e-01
6.300000000000000000e+01,9.516000000000000014e-01,9.504000000000000226e-01
6.400000000000000000e+01,9.509999999999999565e-01,9.494000000000000217e-01
6.500000000000000000e+01,9.540999999999999481e-01,9.523000000000000353e-01
6.600000000000000000e+01,9.520999999999999464e-01,9.495999999999999996e-01
6.700000000000000000e+01,9.473000000000000309e-01,9.434000000000000163e-01
6.800000000000000000e+01,9.475000000000000089e-01,9.444000000000000172e-01
6.900000000000000000e+01,9.475000000000000089e-01,9.446999999999999842e-01
7.000000000000000000e+01,9.500999999999999446e-01,9.474000000000000199e-01
7.100000000000000000e+01,9.498999999999999666e-01,9.467999999999999750e-01
7.200000000000000000e+01,9.489999999999999547e-01,9.455999999999999961e-01
7.300000000000000000e+01,9.494000000000000217e-01,9.462000000000000410e-01
7.400000000000000000e+01,9.507999999999999785e-01,9.467999999999999750e-01
7.500000000000000000e+01,9.510999999999999455e-01,9.471000000000000529e-01
7.600000000000000000e+01,9.507999999999999785e-01,9.471000000000000529e-01
7.700000000000000000e+01,9.514000000000000234e-01,9.481000000000000538e-01
7.800000000000000000e+01,9.516999999999999904e-01,9.482000000000000428e-01
7.900000000000000000e+01,9.512000000000000455e-01,9.469999999999999529e-01
8.000000000000000000e+01,9.497999999999999776e-01,9.442000000000000393e-01
8.100000000000000000e+01,9.483000000000000318e-01,9.429999999999999494e-01
8.200000000000000000e+01,9.484000000000000208e-01,9.433000000000000274e-01
8.300000000000000000e+01,9.467999999999999750e-01,9.412000000000000366e-01
8.400000000000000000e+01,9.452000000000000401e-01,9.408999999999999586e-01
8.500000000000000000e+01,9.468999999999999639e-01,9.415999999999999925e-01
8.600000000000000000e+01,9.465000000000000080e-01,9.416999999999999815e-01
8.700000000000000000e+01,9.455999999999999961e-01,9.425999999999999934e-01
8.800000000000000000e+01,9.465000000000000080e-01,9.427999999999999714e-01
8.900000000000000000e+01,9.467999999999999750e-01,9.435999999999999943e-01
9.000000000000000000e+01,9.479999999999999538e-01,9.451000000000000512e-01
9.100000000000000000e+01,9.333000000000000185e-01,9.268999999999999462e-01
9.200000000000000000e+01,9.306999999999999718e-01,9.209000000000000519e-01
9.300000000000000000e+01,9.346999999999999753e-01,9.264999999999999902e-01
9.400000000000000000e+01,9.314999999999999947e-01,9.249000000000000554e-01
9.500000000000000000e+01,9.300000000000000488e-01,9.204999999999999849e-01
9.600000000000000000e+01,9.333000000000000185e-01,9.276999999999999691e-01
9.700000000000000000e+01,9.327999999999999625e-01,9.284000000000000030e-01
9.800000000000000000e+01,8.640999999999999792e-01,8.554000000000000492e-01
9.900000000000000000e+01,5.387999999999999456e-01,5.338000000000000522e-01
1.000000000000000000e+02,1.032000000000000001e-01,1.032000000000000001e-01
